customer_id,first_name,last_name,email,country,registration_date,order_id,order_date,order_item_id,product_id,product_name,category,quantity,price,cost,discount,revenue,total_cost,profit,profit_margin
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15001,2026-01-10,1,101,Laptop Pro,Electronics,2,900,650,0.0,1800.0,1300,500.0,0.2777777777777778
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15001,2026-01-10,2,102,Wireless Mouse,Electronics,3,25,10,0.0,75.0,30,45.0,0.6
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15004,2026-02-03,7,101,Laptop Pro,Electronics,1,900,650,0.0,900.0,650,250.0,0.2777777777777778
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15004,2026-02-03,8,104,USB-C Hub,Electronics,2,45,20,0.0,90.0,40,50.0,0.5555555555555556
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15013,2026-04-22,25,111,Data Science Handbook,Books,3,50,20,0.1,135.0,60,75.0,0.5555555555555556
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15013,2026-04-22,26,115,Headphones,Electronics,1,150,70,0.1,135.0,70,65.0,0.48148148148148145
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15021,2026-07-01,41,102,Wireless Mouse,Electronics,5,25,10,0.05,118.75,50,68.75,0.5789473684210527
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15021,2026-07-01,42,103,Mechanical Keyboard,Electronics,2,75,35,0.05,142.5,70,72.5,0.5087719298245614
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15026,2026-08-05,52,109,Python Book,Books,1,40,15,0.0,40.0,15,25.0,0.625
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15026,2026-08-05,51,115,Headphones,Electronics,2,150,70,0.0,300.0,140,160.0,0.5333333333333333
1,Marko,Petrovic,marko.petrovic@email.com,Serbia,2025-01-15,15033,,63,115,Headphones,Electronics,1,150,70,0.0,150.0,70,80.0,0.5333333333333333
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15002,2026-01-15,3,105,Running Shoes,Sports,1,120,55,0.05,114.0,55,59.0,0.5175438596491229
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15002,2026-01-15,4,109,Python Book,Books,2,40,15,0.05,76.0,30,46.0,0.6052631578947368
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15009,2026-03-20,18,102,Wireless Mouse,Electronics,4,25,10,0.05,95.0,40,55.0,0.5789473684210527
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15009,2026-03-20,17,117,Fitness Tracker,Electronics,1,200,90,0.05,190.0,90,100.0,0.5263157894736842
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15022,2026-07-08,43,111,Data Science Handbook,Books,1,50,20,0.0,50.0,20,30.0,0.6
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15022,2026-07-08,44,114,Desk Lamp,Furniture,2,45,18,0.0,90.0,36,54.0,0.6
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15034,2026-09-05,64,111,Data Science Handbook,Books,2,50,20,0.0,100.0,40,60.0,0.6
2,Ana,Jovanovic,ana.jovanovic@email.com,Serbia,2025-02-20,15034,2026-09-05,65,111,Data Science Handbook,Books,2,50,20,0.0,100.0,40,60.0,0.6
3,Nikola,Stojanovic,nikola.stojanovic@email.com,Serbia,2025-03-10,15003,2026-01-22,5,103,Mechanical Keyboard,Electronics,1,75,35,0.1,67.5,35,32.5,0.48148148148148145
3,Nikola,Stojanovic,nikola.stojanovic@email.com,Serbia,2025-03-10,15003,2026-01-22,6,115,Headphones,Electronics,1,150,70,0.1,135.0,70,65.0,0.48148148148148145
3,Nikola,Stojanovic,nikola.stojanovic@email.com,Serbia,2025-03-10,15016,2026-05-18,31,107,Dumbbell Set,Sports,2,80,40,0.0,160.0,80,80.0,0.5
3,Nikola,Stojanovic,nikola.stojanovic@email.com,Serbia,2025-03-10,15016,2026-05-18,32,108,Basketball,Sports,1,35,18,0.0,35.0,18,17.0,0.4857142857142857
3,Nikola,Stojanovic,nikola.stojanovic@email.com,Serbia,2025-03-10,15027,2026-08-12,54,110,JavaScript Guide,Books,3,35,12,0.1,94.5,36,58.5,0.6190476190476191
3,Nikola,Stojanovic,nikola.stojanovic@email.com,Serbia,2025-03-10,15027,2026-08-12,53,112,Office Chair,Furniture,1,350,180,0.1,315.0,180,135.0,0.42857142857142855
4,Jelena,Markovic,jelena.markovic@email.com,Croatia,2025-04-05,15005,2026-02-14,9,112,Office Chair,Furniture,1,350,180,0.15,297.5,180,117.5,0.3949579831932773
4,Jelena,Markovic,jelena.markovic@email.com,Croatia,2025-04-05,15005,2026-02-14,10,114,Desk Lamp,Furniture,3,45,18,0.15,114.75,54,60.75,0.5294117647058824
4,Jelena,Markovic,jelena.markovic@email.com,Croatia,2025-04-05,15023,2026-07-15,46,106,Yoga Mat,Sports,2,30,12,0.1,54.0,24,30.0,0.5555555555555556
4,Jelena,Markovic,jelena.markovic@email.com,Croatia,2025-04-05,15023,2026-07-15,45,117,Fitness Tracker,Electronics,1,200,90,0.1,180.0,90,90.0,0.5
5,Stefan,Djordjevic,stefan.djordjevic@email.com,Bosnia,2025-05-12,15006,2026-02-28,11,106,Yoga Mat,Sports,2,30,12,0.0,60.0,24,36.0,0.6
5,Stefan,Djordjevic,stefan.djordjevic@email.com,Bosnia,2025-05-12,15006,2026-02-28,12,107,Dumbbell Set,Sports,1,80,40,0.0,80.0,40,40.0,0.5
5,Stefan,Djordjevic,stefan.djordjevic@email.com,Bosnia,2025-05-12,15019,2026-06-10,37,113,Standing Desk,Furniture,1,600,320,0.15,510.0,320,190.0,0.37254901960784315
5,Stefan,Djordjevic,stefan.djordjevic@email.com,Bosnia,2025-05-12,15019,2026-06-10,38,120,Sunglasses,Accessories,1,90,30,0.15,76.5,30,46.5,0.6078431372549019
6,Milica,Ilic,milica.ilic@email.com,Serbia,2025-06-01,15007,2026-03-05,13,110,JavaScript Guide,Books,4,35,12,0.1,126.0,48,78.0,0.6190476190476191
6,Milica,Ilic,milica.ilic@email.com,Serbia,2025-06-01,15007,2026-03-05,14,116,Smartphone Case,Electronics,5,15,3,0.1,67.5,15,52.5,0.7777777777777778
6,Milica,Ilic,milica.ilic@email.com,Serbia,2025-06-01,15028,2026-08-18,56,105,Running Shoes,Sports,2,120,55,0.0,240.0,110,130.0,0.5416666666666666
6,Milica,Ilic,milica.ilic@email.com,Serbia,2025-06-01,15028,2026-08-18,55,113,Standing Desk,Furniture,1,600,320,0.0,600.0,320,280.0,0.4666666666666667
7,Lazar,Nikolic,lazar.nikolic@email.com,Montenegro,2025-07-18,15008,2026-03-12,15,113,Standing Desk,Furniture,1,600,320,0.0,600.0,320,280.0,0.4666666666666667
7,Lazar,Nikolic,lazar.nikolic@email.com,Montenegro,2025-07-18,15008,2026-03-12,16,119,Backpack,Accessories,2,65,25,0.0,130.0,50,80.0,0.6153846153846154
8,Jovana,Pavlovic,jovana.pavlovic@email.com,Serbia,2025-08-22,15010,2026-04-01,19,108,Basketball,Sports,3,35,18,0.0,105.0,54,51.0,0.4857142857142857
8,Jovana,Pavlovic,jovana.pavlovic@email.com,Serbia,2025-08-22,15010,2026-04-01,20,118,Water Bottle,Sports,5,18,5,0.0,90.0,25,65.0,0.7222222222222222
8,Jovana,Pavlovic,jovana.pavlovic@email.com,Serbia,2025-08-22,15024,2026-07-22,47,101,Laptop Pro,Electronics,1,900,650,0.0,900.0,650,250.0,0.2777777777777778
8,Jovana,Pavlovic,jovana.pavlovic@email.com,Serbia,2025-08-22,15024,2026-07-22,48,119,Backpack,Accessories,3,65,25,0.0,195.0,75,120.0,0.6153846153846154
9,Aleksandar,Milosevic,aleksandar.milosevic@email.com,Croatia,2025-09-30,15011,2026-04-10,21,101,Laptop Pro,Electronics,1,900,650,0.2,720.0,650,70.0,0.09722222222222222
9,Aleksandar,Milosevic,aleksandar.milosevic@email.com,Croatia,2025-09-30,15011,2026-04-10,22,120,Sunglasses,Accessories,2,90,30,0.2,144.0,60,84.0,0.5833333333333334
9,Aleksandar,Milosevic,aleksandar.milosevic@email.com,Croatia,2025-09-30,15029,2026-08-25,57,103,Mechanical Keyboard,Electronics,1,75,35,0.05,71.25,35,36.25,0.5087719298245614
9,Aleksandar,Milosevic,aleksandar.milosevic@email.com,Croatia,2025-09-30,15029,2026-08-25,58,104,USB-C Hub,Electronics,2,45,20,0.05,85.5,40,45.5,0.5321637426900585
10,Tamara,Stanisic,tamara.stanisic@email.com,Serbia,2025-10-14,15012,2026-04-15,24,103,Mechanical Keyboard,Electronics,1,75,35,0.0,75.0,35,40.0,0.5333333333333333
10,Tamara,Stanisic,tamara.stanisic@email.com,Serbia,2025-10-14,15012,2026-04-15,23,105,Running Shoes,Sports,2,120,55,0.0,240.0,110,130.0,0.5416666666666666
10,Tamara,Stanisic,tamara.stanisic@email.com,Serbia,2025-10-14,15025,2026-08-01,49,108,Basketball,Sports,2,35,18,0.05,66.5,36,30.5,0.45864661654135336
10,Tamara,Stanisic,tamara.stanisic@email.com,Serbia,2025-10-14,15025,2026-08-01,50,118,Water Bottle,Sports,4,18,5,0.05,68.39999999999999,20,48.39999999999999,0.7076023391812866
11,Dusan,Kovacevic,dusan.kovacevic@email.com,Serbia,2025-11-03,15014,2026-05-01,28,109,Python Book,Books,2,40,15,0.0,80.0,30,50.0,0.625
11,Dusan,Kovacevic,dusan.kovacevic@email.com,Serbia,2025-11-03,15014,2026-05-01,27,119,Backpack,Accessories,1,65,25,0.0,65.0,25,40.0,0.6153846153846154
11,Dusan,Kovacevic,dusan.kovacevic@email.com,Serbia,2025-11-03,15030,2026-09-01,59,107,Dumbbell Set,Sports,1,80,40,0.0,80.0,40,40.0,0.5
11,Dusan,Kovacevic,dusan.kovacevic@email.com,Serbia,2025-11-03,15030,2026-09-01,60,120,Sunglasses,Accessories,3,90,30,0.0,270.0,90,180.0,0.6666666666666666
